         76918 function calls (75278 primitive calls) in 0.473 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    109/4    0.001    0.000    0.410    0.102 <frozen importlib._bootstrap_external>:877(exec_module)
      109    0.008    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       13    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      568    0.002    0.000    0.003    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.473    0.473 AprofundamentoInterativo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AprofundamentoInterativo.py:11(AprofundamentoIterativo)
        1    0.000    0.000    0.060    0.060 AprofundamentoInterativo.py:13(__init__)
        1    0.000    0.000    0.000    0.000 AprofundamentoInterativo.py:21(playerAtual)
       15    0.000    0.000    0.000    0.000 AprofundamentoInterativo.py:22(<genexpr>)
       29    0.000    0.000    0.059    0.002 AprofundamentoInterativo.py:34(setaNodo)
      7/1    0.000    0.000    0.051    0.051 AprofundamentoInterativo.py:61(geraGrafo)
        1    0.000    0.000    0.000    0.000 Encripita.py:1(<module>)
        1    0.000    0.000    0.000    0.000 FunctionObjetivo.py:1(<module>)
     2842    0.006    0.000    0.006    0.000 FunctionObjetivo.py:18(<genexpr>)
        1    0.000    0.000    0.000    0.000 FunctionObjetivo.py:4(Objetivo)
     2617    0.007    0.000    0.007    0.000 FunctionObjetivo.py:48(<genexpr>)
       58    0.000    0.000    0.000    0.000 FunctionObjetivo.py:5(__init__)
      490    0.002    0.000    0.002    0.000 FunctionObjetivo.py:58(<genexpr>)
       58    0.010    0.000    0.058    0.001 FunctionObjetivo.py:8(steps_to_win)
     1439    0.003    0.000    0.003    0.000 FunctionObjetivo.py:81(<genexpr>)
     1504    0.003    0.000    0.003    0.000 FunctionObjetivo.py:99(<genexpr>)
        1    0.000    0.000    0.000    0.000 Grafo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Grafo.py:1(Node)
