         76918 function calls (75278 primitive calls) in 0.473 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 datetime.py:442(timedelta)
        3    0.000    0.000    0.000    0.000 datetime.py:46(_days_before_year)
       12    0.001    0.000    0.001    0.000 datetime.py:461(__new__)
        5    0.000    0.000    0.000    0.000 datetime.py:51(_days_in_month)
        2    0.000    0.000    0.000    0.000 datetime.py:634(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
        2    0.000    0.000    0.000    0.000 datetime.py:792(__new__)
        1    0.000    0.000    0.008    0.008 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.011    0.011 defchararray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1908(chararray)
        1    0.000    0.000    0.013    0.013 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        2    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        5    0.000    0.000    0.000    0.000 enum.py:1049(<lambda>)
        3    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        1    0.000    0.000    0.001    0.001 enum.py:180(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
        8    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
        8    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       46    0.000    0.000    0.001    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        8    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        2    0.000    0.000    0.000    0.000 enum.py:442(__iter__)
       20    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        9    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        1    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        2    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        2    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        1    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       46    0.000    0.000    0.001    0.000 enum.py:678(__new__)
       27    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.000    0.000 enum.py:82(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:89(__setitem__)
        2    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
        2    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        4    0.000    0.000    0.001    0.000 enum.py:980(__or__)
       19    0.000    0.000    0.001    0.000 enum.py:986(__and__)
        1    0.000    0.000    0.013    0.013 extras.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1519(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1549(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1567(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:214(_fromnxfunction)
       10    0.000    0.000    0.009    0.001 extras.py:234(__init__)
       10    0.000    0.000    0.009    0.001 extras.py:238(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:264(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:282(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:295(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:320(_fromnxfunction_allargs)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.018    0.018 fromnumeric.py:1(<module>)
        2    0.000    0.000    0.009    0.004 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:2117(vectorize)
      317    0.003    0.000    0.005    0.000 function_base.py:451(_needs_add_docstring)
      317    0.003    0.000    0.009    0.000 function_base.py:469(_add_docstring)
      317    0.009    0.000    0.029    0.000 function_base.py:483(add_newdoc)
      325    0.013    0.000    0.024    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        2    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      323    0.001    0.000    0.001    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       36    0.000    0.000    0.002    0.000 getlimits.py:111(_float_to_str)
        8    0.000    0.000    0.000    0.000 getlimits.py:153(_register_type)
        1    0.000    0.000    0.004    0.004 getlimits.py:158(_register_known_types)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        1    0.000    0.000    0.000    0.000 getlimits.py:32(MachArLike)
        6    0.000    0.000    0.003    0.001 getlimits.py:34(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:364(finfo)
        1    0.000    0.000    0.000    0.000 getlimits.py:613(iinfo)
        7    0.000    0.000    0.000    0.000 getlimits.py:668(__init__)
        4    0.000    0.000    0.000    0.000 getlimits.py:692(max)
       36    0.000    0.000    0.001    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1658(Hermite)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1650(HermiteE)
        1    0.000    0.000    0.001    0.001 histograms.py:1(<module>)
        1    0.001    0.001    0.007    0.007 hmac.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 hmac.py:27(HMAC)
        1    0.000    0.000    0.026    0.026 index_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 index_tricks.py:110(nd_grid)
        2    0.000    0.000    0.000    0.000 index_tricks.py:145(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:212(MGridClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:257(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:264(OGridClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:306(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:313(AxisConcatenator)
        3    0.000    0.000    0.000    0.000 index_tricks.py:323(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:436(RClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:531(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:538(CClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:563(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:570(ndenumerate)
        1    0.000    0.000    0.000    0.000 index_tricks.py:619(ndindex)
        1    0.000    0.000    0.000    0.000 index_tricks.py:718(IndexExpression)
        2    0.000    0.000    0.000    0.000 index_tricks.py:762(__init__)
       28    0.007    0.000    0.014    0.001 inspect.py:744(cleandoc)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1606(Laguerre)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1619(Legendre)
        1    0.000    0.000    0.011    0.011 linalg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:44(LinAlgError)
        1    0.000    0.000    0.000    0.000 linalg.py:74(_determine_error_states)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:22(memmap)
        1    0.000    0.000    0.001    0.001 mixins.py:1(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        4    0.000    0.000    0.000    0.000 mixins.py:51(_unary_method)
        1    0.000    0.000    0.001    0.001 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.078    0.078 multiarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multiarray.py:1079(copyto)
        1    0.000    0.000    0.000    0.000 multiarray.py:152(concatenate)
        1    0.000    0.000    0.004    0.004 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.005    0.005 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:106(NpzFile)
        1    0.000    0.000    0.000    0.000 npyio.py:42(BagObj)
        1    0.000    0.000    0.020    0.020 ntpath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:12(Number)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.001    0.001    0.036    0.036 numeric.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:150(ones)
        6    0.001    0.000    0.001    0.000 numeric.py:2536(extend_all)
        1    0.000    0.000    0.000    0.000 numeric.py:61(ComplexWarning)
        1    0.000    0.000    0.011    0.011 numerictypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:424(_typedict)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
       24    0.000    0.000    0.000    0.000 numerictypes.py:513(_scalar_type_key)
        1    0.000    0.000    0.000    0.000 numerictypes.py:588(_register_types)
        1    0.000    0.000    0.000    0.000 os.py:1080(__subclasshook__)
        5    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
        2    0.000    0.000    0.000    0.000 os.py:683(__setitem__)
        2    0.000    0.000    0.000    0.000 os.py:689(__delitem__)
       11    0.000    0.000    0.000    0.000 os.py:755(encode)
        1    0.000    0.000    0.074    0.074 overrides.py:1(<module>)
       82    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
       82    0.000    0.000    0.000    0.000 overrides.py:121(decorator)
      314    0.001    0.000    0.001    0.000 overrides.py:128(array_function_dispatch)
      314    0.005    0.000    0.060    0.000 overrides.py:170(decorator)
       23    0.000    0.000    0.000    0.000 overrides.py:216(array_function_from_dispatcher)
       23    0.000    0.000    0.003    0.000 overrides.py:220(decorator)
        9    0.000    0.000    0.000    0.000 overrides.py:23(set_array_function_like_doc)
      284    0.005    0.000    0.030    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:139(_ResultMixinStr)
        1    0.000    0.000    0.000    0.000 parse.py:147(_ResultMixinBytes)
        1    0.000    0.000    0.000    0.000 parse.py:155(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 parse.py:193(_NetlocResultMixinStr)
        1    0.000    0.000    0.000    0.000 parse.py:223(_NetlocResultMixinBytes)
        1    0.000    0.000    0.000    0.000 parse.py:328(DefragResult)
        1    0.000    0.000    0.000    0.000 parse.py:336(SplitResult)
        1    0.000    0.000    0.000    0.000 parse.py:341(ParseResult)
        1    0.000    0.000    0.000    0.000 parse.py:347(DefragResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:355(SplitResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:360(ParseResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:366(_fix_result_transcoding)
        1    0.000    0.000    0.000    0.000 parse.py:807(Quoter)
        1    0.000    0.000    0.032    0.032 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 pathlib.py:128(<setcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:129(<setcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1446(PosixPath)
        1    0.000    0.000    0.000    0.000 pathlib.py:1453(WindowsPath)
        1    0.000    0.000    0.000    0.000 pathlib.py:231(_PosixFlavour)
        1    0.000    0.000    0.000    0.000 pathlib.py:277(_Accessor)
        1    0.000    0.000    0.000    0.000 pathlib.py:282(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 pathlib.py:385(_Selector)
        1    0.000    0.000    0.000    0.000 pathlib.py:410(_TerminatingSelector)
        1    0.000    0.000    0.000    0.000 pathlib.py:416(_PreciseSelector)
        1    0.000    0.000    0.000    0.000 pathlib.py:432(_WildcardSelector)
        1    0.000    0.000    0.000    0.000 pathlib.py:463(_RecursiveWildcardSelector)
        1    0.000    0.000    0.000    0.000 pathlib.py:49(_Flavour)
        1    0.000    0.000    0.000    0.000 pathlib.py:507(_PathParents)
        2    0.000    0.000    0.000    0.000 pathlib.py:53(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:540(PurePath)
        1    0.000    0.000    0.000    0.000 pathlib.py:922(PurePosixPath)
        1    0.000    0.000    0.000    0.000 pathlib.py:932(PureWindowsPath)
        1    0.000    0.000    0.000    0.000 pathlib.py:945(Path)
        1    0.000    0.000    0.012    0.012 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
        1    0.000    0.000    0.004    0.004 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 pickle.py:200(_Framer)
        1    0.000    0.000    0.000    0.000 pickle.py:263(_Unframer)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
        1    0.000    0.000    0.000    0.000 pickle.py:73(PickleError)
        1    0.000    0.000    0.000    0.000 pickle.py:77(PicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:84(UnpicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:97(_Stop)
        2    0.000    0.000    0.007    0.004 polynomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:1076(poly1d)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
        1    0.000    0.000    0.000    0.000 polynomial.py:28(RankWarning)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:47(RankWarning)
        1    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        2    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        1    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.055    0.055 py3k.py:1(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:84(contextlib_nullcontext)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 random.py:219(__init_subclass__)
        1    0.000    0.000    0.000    0.000 random.py:813(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:826(getrandbits)
        1    0.000    0.000    0.000    0.000 random.py:840(seed)
      107    0.001    0.000    0.004    0.000 re.py:187(match)
        4    0.000    0.000    0.001    0.000 re.py:202(sub)
       14    0.000    0.000    0.002    0.000 re.py:222(split)
       16    0.000    0.000    0.025    0.002 re.py:249(compile)
      141    0.001    0.000    0.031    0.000 re.py:288(_compile)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:223(record)
        1    0.000    0.000    0.000    0.000 records.py:308(recarray)
        1    0.000    0.000    0.000    0.000 records.py:87(format_parser)
        1    0.000    0.000    0.005    0.005 scanner.py:1(<module>)
        1    0.000    0.000    0.007    0.007 scimath.py:1(<module>)
        1    0.000    0.000    0.013    0.013 secrets.py:1(<module>)
        2    0.000    0.000    0.025    0.012 shape_base.py:1(<module>)
       32    0.000    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
       32    0.001    0.000    0.002    0.000 sre_compile.py:292(_optimize_charset)
        9    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
        9    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
        1    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
       31    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
        2    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       37    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
    22/17    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
       15    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
       19    0.001    0.000    0.002    0.000 sre_compile.py:560(_compile_info)
       38    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
       19    0.000    0.000    0.011    0.001 sre_compile.py:622(_code)
       19    0.000    0.000    0.028    0.001 sre_compile.py:783(compile)
       21    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
    66/19    0.003    0.000    0.008    0.000 sre_compile.py:87(_compile)
       68    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
      139    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
      430    0.002    0.000    0.003    0.000 sre_parse.py:165(__getitem__)
       32    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
      159    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
    78/31    0.001    0.000    0.001    0.000 sre_parse.py:175(getwidth)
       19    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      405    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
      181    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
      299    0.001    0.000    0.002    0.000 sre_parse.py:255(get)
        4    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
        4    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      102    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
       16    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
       17    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       23    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
    33/19    0.001    0.000    0.015    0.001 sre_parse.py:436(_parse_sub)
    35/19    0.004    0.000    0.015    0.001 sre_parse.py:494(_parse)
       19    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       62    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
       12    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
        1    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
       19    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       19    0.000    0.000    0.016    0.001 sre_parse.py:944(parse)
       12    0.000    0.000    0.001    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:15(DummyArray)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        4    0.000    0.000    0.001    0.000 textwrap.py:422(dedent)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:103(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:1183(daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1301(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 threading.py:1354(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1384(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1405(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:224(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:359(notify)
        1    0.000    0.000    0.000    0.000 threading.py:389(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:410(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:493(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:534(Event)
        1    0.000    0.000    0.000    0.000 threading.py:545(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:568(set)
        1    0.000    0.000    0.000    0.000 threading.py:622(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:776(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 threading.py:800(_maintain_shutdown_locks)
        1    0.000    0.000    0.000    0.000 threading.py:810(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:816(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:827(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:979(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:983(_set_native_id)
        1    0.000    0.000    0.000    0.000 threading.py:986(_set_tstate_lock)
        1    0.000    0.000    0.004    0.004 twodim_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 type_check.py:1(<module>)
       27    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.001    0.001 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        3    0.000    0.000    0.000    0.000 ufunclike.py:41(_fix_out_named_y)
        3    0.000    0.000    0.000    0.000 ufunclike.py:58(_fix_and_maybe_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:126(_Deprecate)
        1    0.000    0.000    0.017    0.017 version.py:1(<module>)
        3    0.000    0.000    0.005    0.002 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        4    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
      613    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x5603a51909a0}
       16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_512}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_128}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_256}
      109    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
     1037    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
        9    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       17    0.012    0.001    0.018    0.001 {built-in method _imp.create_dynamic}
        9    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
    17/12    0.003    0.000    0.028    0.002 {built-in method _imp.exec_dynamic}
       45    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      134    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
     1037    0.003    0.000    0.003    0.000 {built-in method _imp.release_lock}
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       19    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       81    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       68    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
      292    0.005    0.000    0.005    0.000 {built-in method _thread.allocate_lock}
      981    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        4    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
  208/207    0.004    0.000    0.008    0.000 {built-in method builtins.__build_class__}
    377/8    0.002    0.000    0.391    0.049 {built-in method builtins.__import__}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      288    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
    110/1    0.001    0.000    0.473    0.473 {built-in method builtins.exec}
     3870    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
      394    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
     1386    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     5410    0.013    0.000    0.013    0.000 {built-in method builtins.isinstance}
       68    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
3530/3460    0.008    0.000    0.008    0.000 {built-in method builtins.len}
      222    0.002    0.000    0.004    0.000 {built-in method builtins.max}
     1557    0.004    0.000    0.004    0.000 {built-in method builtins.min}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      165    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       61    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
     1702    0.005    0.000    0.005    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      328    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       23    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      109    0.003    0.000    0.003    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.000    0.000 {built-in method maketrans}
      109    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
